fecha,hora,operador,tipo_de_avion,ruta,pasajeros_a_bordo,personal_a_bordo,total_a_bordo,pasajeros_fallecidos,personal_fallecido,ground,total_fallecidos,año,dia,mes,summary
1947-7-15,,Aero Cargo,Junkers Ju-52/3m,"Vichy ,France",,,19,,,0,1,1947,15,7,Lost control while landing and crashed.
1947-7-16,22:40:00,British Overseas Airways,Avro 685 York,"Az-Zubair, Iran",0,6,6,0,6,0,6,1947,16,7,"During a fourth landing attempt the plane touched down, power was applied but the plane crashed in a wooded area beyond the runway. An error on the part of the pilot in continuing the flight in unsuitable weather conditions coupled with lack of cooperation by the ATC."
1947-7-25,,Flota Aérea Mercante Argentina,Avro 685 York I,"Moron, Argentina",0,6,6,0,2,2,2,1947,25,7,Struck a truck while attempting to land.
1947-7-31,,Military - Chinese Air Force,Douglas C-47,"Near Yumen, China",22,4,26,22,4,0,26,1947,31,7,Crashed in a mountainous area.
1947-8-02,17:40:00,British South American Airways,Avro 691 Lancastrian 3,"Andes, Argentina",6,5,11,6,5,0,11,1947,02,8,"Crash in the Andes mountains in poor weather while flying from Mendoza, Argentina to Santiago, Chile. The plane was found on the south slope of Tupungato peak at the 18,000 ft. level on January 19, 2000, 53 years later. Possibly icing or possibly the aircraft, being capable of flying over 20,000 feet, encountered strong head winds and began a descent thinking they were over their destination when they were not. The plane was named ""Star Dust."" The radio operator transmitted an enigmatic coded message (""STENDEC"") before the plane disappeared."
1947-8-06,,Military - U.S. Navy,Consolidated PBY-5A Catalina,North Pacific Ocean,15,5,20,15,5,0,20,1947,06,8,Disappeared while en route. The last message from the aircraft was it was 150 miles from its destination and battling strong head winds.
1947-8-08,18:49:00,American Airlines,Douglas DC-3C,"New York, New York",3,2,5,1,2,0,3,1947,08,8,"Cargo flight. Lost an engine on takeoff and decided to return to the airport. Following an attempted landing, a miss approach procedure was attempted for a second landing without sufficient air speed for single engine operation."
1947-8-09,,AB Aerotransport,Douglas DC-3F,"Malmo, Sweden",0,5,5,0,1,0,1,1947,09,8,The cargo plane overran the runway and crashed into high ground.
1947-8-13,,Transporturile Aeriene Romano-Sovietice,Lisunov Li-2,"Bucharest, Romania",5,3,8,3,0,0,3,1947,13,8,
1947-8-21,06:11:00,Slick Airways,Curtiss C-46E,"Hanksville, Utah",1,2,3,1,2,0,3,1947,21,8,The cargo plane entered a thunderstorm and struck Blue Bell Knoll Mountain. The continuation of the flight into instrument weather conditions over mountainous terrain at an altitude too low to clear the mountains en route.
1947-8-23,04:00:00,British Overseas Airways,Short Sandringham 5 (flying boat),"Bahrain, Persian Gulf",18,8,26,7,3,0,10,1947,23,8,"Heavy water landing. The captain misjudged the approach and allowed the aircraft to touchdown heavily, short of the flarepath. He then failed to maintain control during the bounce and the aircraft struck the water in a nose-down attitude."
1947-8-28,09:00:00,Norwegian Airlines,Short Sandringham (flying boat),"Harsiad, Norway",27,8,35,27,8,0,35,1947,28,8,"Crashed into 13,000 foot mountain. Navigational error by the crew."
1947-10-08,07:55:00,American Airlines,Douglas DC-4,"Near El Paso, Texas",49,5,54,0,0,0,0,1947,08,10,"While cruising at 8,000 ft. in clear weather, the aircraft went into steep dive which the co-pilot was able to pull out of at 350 feet from the ground.  As a prank, a captain riding in the jump seat, engaged the gust lock in flight. The command pilot, not knowing the gust lock was engaged, rolled the elevator trim tab with no response. When the jump seat captain disengaged the gust lock,the aircraft went into a steep dive, executed part of an outside roll and become inverted. Neither the command nor jump seat captain had seat belts on and they accidentally feathered No. 1, 2 and 4 engines when they hit the controls with their heads.  No one realized it at the time but the feathering reduced power and allowed the co-pilot, who was strapped in, to pull out of the dive."
1947-10-14,10:04:00,American International Airways,Boeing 314A,"Ocean, 800 miles east of Newfoundland",62,7,69,0,0,0,0,1947,14,10,"The plane was 5,000 pounds over its certified weight and had to land at sea when it ran out of fuel in severe headwinds.  Over the next following 25 hours all occupants were rescued by the US Coast Guard ship Bibb using rafts and small boats and the plane was then sunk as a hazard to shipping."
1947-10-16,14:50:00,Societe Aerienne du Littoral,Bristol 170 Freighter I,"Off Cartegena, Spain",39,4,43,38,4,0,41,1947,16,10,Crashed into the sea following engine failure. The mechanic and a passenger survived.
1947-10-16,,Stratofreight,Douglas DC-3,"Sylva, North Carolina",1,2,3,1,2,0,3,1947,16,10,The cargo plane struck a mountain en route.
1947-10-24,12:29:00,United Air Lines,Douglas DC-6,"Bryce Canyon, Utah",48,5,53,48,5,0,53,1947,24,10,"Fire was reported on board the aircraft before it crashed.  An almost identical accident with the same cause occurred on 11/11/47. The flight crew transferred fuel either intentionally or inadvertently from the No. 4 alternate tanks to the No. 3 alternate tanks and failed to stop the transfer process in time to avoid overflowing the No. 3 alternate tank. Gasoline flowed through the No. 3 alternate vent line, out the vent, and was carried back by the slip stream, entering the cabin heater combustion air intake scoop. When the cabin heater came on an explosion and fire  occurred. The fire was fueled by magnesium flares strored in the cabin heater compartment. Caused by a design flaw in the aircraft which allowed vented fuel to be carried back into the cabin heater air intake."
1947-10-26,19:30:00,AB Aerotransport,Douglas DC-4-1009,"Near Mt. Hymettus, Greece",36,8,44,36,8,0,44,1947,26,10,"The aircraft crashed into Mt. Hymettus while on approach to Hassani Airport in a severe rainstorm. The captain, John Douglas, probably tried to force the landing due to the weather conditions, when the belly of the aircraft hit the summit, resulting in loss of control, crash and fire. The pilot did not properly follow IFR procedures. The wreckage was found the next morning with the corpses of the victims plundered (the victim's pockets were found to be turned inside-out). The aircraft was named ""Sunnan."""
1947-10-26,13:45:00,Pan American World Airways,Douglas DC-4A,"Annette Island, Alaska",13,5,18,13,5,0,18,1947,26,10,The aircraft crashed into Tamgas Mountain after abandoning an approach to Annette Island because of extreme turbulence and radioing its intentions to proceed to Juneau. Possible severe turbulence or icing. Official cause unknown. The aircraft was named Clipper Talisman II.
1947-10-31,,Military - Royal Indian Air Force,Douglas C-47B,"Near Srinagar, India",22,3,25,22,3,0,25,1947,31,10,Took off and went missing. The wreckage was located in June 1980 in the Pir Panjal hills near Srinagar.
1947-11-02,,Philippine Air Express,Douglas DC-3,"Off Barrio Rizal, Philippines",3,2,5,3,2,0,5,1947,02,11,The cargo plane crashed into the ocean.
1947-11-11,,American Airlines,Douglas DC-6,"Gallup, New Mexico",21,4,25,,,0,0,1947,11,11,"The aircraft was on a flight from San Francisco to Chicago when fire was reported on board. The aircraft crashed landed but there were no fatalities. An almost identical accident with the same cause occurred on 10/24/47. The flight crew transferred fuel either intentionally or inadvertently from the No. 4 alternate tanks to the No. 3 alternate tanks and failed to stop the transfer process in time to avoid overflowing the No. 3 alternate tank. Gasoline flowed through the No. 3 alternate vent line, out the vent, and was carried back by the slipstream, entering the cabin heater combustion air intake scoop. When the cabin heater came on, an explosion and fire  occurred. Caused by a design flaw in the aircraft design which allowed vented fuel to be suck into the fresh air inlet."
1947-11-13,,Société Auxiliare de Navigation Aérienne,Junkers Ju-52/3m,"Near Bouchox, France",0,2,2,0,2,0,2,1947,13,11,The cargo plane struck a mountain en route.
1947-11-18,13:00:00,Trans Continental and Western Air,Lockheed L-049-46-26 Constellation,"Newcastle, Delaware",0,5,5,0,5,0,5,1947,18,11,"Crashed short of the runway and burst into flames. The inadvertent landing of the aircraft short of the runway. Inadequate air speed, improper use of power, and the adoption of an incorrect glide path."
1947-11-18,15:00:00,Trafik-Turist-Transportflyg,Bristol 170 Freighter XI,"Ravello, Italy",21,4,25,16,4,0,20,1947,18,11,"Strayed off course, stuck tree tops and then crashed into Mt. Santa Maria del Monte. Pilot's failure to realize the plane strayed off course and was in mountainous territory."
1947-11-21,18:00:00,TARS,Lisunov Li-2,"Phouznicie, Romania",21,5,26,8,5,0,13,1947,21,11,"Crashed and burned on 2,000 ft. Tabor Peak in fog. The crew became lost after radio failure."
1947-11-27,,China National Aviation Corporation,Douglas DC-3,,0,3,3,0,2,0,2,1947,27,11,The cargo plane was shot down by communist anti -aircraft fire.
1947-11-27,,Columbia Air Cargo,Douglas DC-3C,"Yakutat, Alaska",11,2,13,11,2,0,13,1947,27,11,Crashed into trees while on approach to Yakutat. Failure to follow the approved instrument approach procedures while making an initial approach at an altitude insufficient to clear trees along the flight path.
1947-11-27,04:20:00,JAT Yugoslav Airlines,Lisunov LI-2,"Montenegrin Mountains, Yugoslavia",19,3,22,19,3,0,22,1947,27,11,The aircraft crashed and burned 2 miles from Titograd airport while attempting to land in a snowstorm.
1947-11-28,14:10:00,Military - U.S. Air Force,Douglas C-47B,"Near Trappa, Italy",15,5,20,15,5,0,20,1947,28,11,"Drifting 30 miles off the prescribed course, the aircraft crashed into snow covered mountains. The wreckage was discovered 8 months later."
1947-11-30,14:25:00,Alaska Airlines,Douglas C-54A,"Seattle, Washington",25,3,28,7,1,1,8,1947,30,11,"The plane attempted to land at Seattle-Tacoma Airport  but aborted the landing because of low ceiling and visibility. During a second landing attempt, the aircraft touched down 2,748 feet beyond the approach end of Runway 20, ran past the end of the runway, hit an automobile killing one person, crashed into a ditch and burst into flames. Caused by the landing of the airplane too far from the approach end of a wet runway and at a speed too great to accomplish a full stop on the runway."
1947-12-10,00:20:00,Military - U.S. Air Force,Douglas C-54D-DC (DC-4),"Near Goose Bay, Labrador",25,4,29,22,1,0,23,1947,10,12,The aircraft crashed and burned in a wooded area shortly after taking off from Goose Bay. Snow falling at the time of the accident was a factor.
1947-12-11,18:10:00,Military - U.S. Air Force,Douglas C-47-DK,"Near Memphis, Tennessee",16,4,20,16,4,0,20,1947,11,12,"After preparing to land, the aircraft went into a right-hand spiral and crashed  for reasons unknown."
1947-12-18,09:30:00,Aeroflot,Ilyushin IL-12,"Krasnoyarsk, Russia",20,5,25,3,4,0,9,1947,18,12,Crash landed due to engine failure after an attempted go-around.
1947-12-23,,Air Transport,Short  S-29 Stirling V,"Kunming, China",,,30,,,0,25,1947,23,12,
1947-12-27,,Air India,Douglas DC-3 (C-47),"Korangi Creek, India",19,4,23,19,4,0,23,1947,27,12,"The aircraft lost control and crashed just after taking off. The captain losing control in conditions of poor visibility, resulted in the aircraft flying into the ground. The loss of control was most likely caused by  inadequate illumination of the flying instruments due to faults in the lighting system.  Decision to take off in poor weather conditions and faulty lighting system."
1947-12-28,,Servicio Aéreo Panini,Douglas DC-2-172,"Leon, Mexico",7,3,10,3,2,3,5,1947,28,12,Crashed near the Leon public square and destroyed 3 homes. Lost an engine while taking off. Attempting to return to the airport.
1948-1-06,19:30:00,Air France,Douglas DC-3D,"Paris, France",11,5,16,11,5,0,16,1948,06,1,Crashed into trees a few hundred yards away from the runway while attempting to land at Le Bourget Airport. Both weather and pilot error were considered as causative factors in the accident.
1948-1-06,,British European Airways,Vickers 610 Viking 1B,"Ruislip, England",14,4,18,0,1,0,1,1948,06,1,"After two or three failed approaches, the plane struck trees and crashed into a field. Poor judgment on the part of the pilot attempting to land in VFR conditions in limited visibility and poor weather conditions and not diverting to another airport."
1948-1-07,07:45:00,Coastal Air Lines,Douglas DC-3,"Near Savannah, Georgia",25,2,27,17,1,0,18,1948,07,1,"After both engines stopped in flight and attempts to restart them failed, the aircraft banked sharply, stalled and crashed 10 miles east northeast of Savannah. The fuel selector valves were positioned so that both engines were supplied fuel from only one of the auxilliary tanks until the fuel was exhausted and control of the plane was lost."
1948-1-08,,Transport Comp. Algerienne de T.A.,Douglas DC-3,"Near Palestro, Algeria",7,2,9,7,2,0,9,1948,08,1,Crashed into a mountainside 50 miles south of Algiers after an engine failed.
1948-1-11,,Dominicana,Douglas DC-3,"Ciudad Havajillo, Dominican Republic",29,3,32,29,3,0,32,1948,11,1,Crashed in mountainous terrain about 15 miles north northwest of Santo Domingo. Unable to land in darkness and unlighted airport of its intended destination the plane turned back when it struck the mountain. Weather and navigational error were considered factors in the accident.
1948-1-13,04:36:00,Eastern Air Lines,Douglas DC-3-201F,"Oxon Hill, Maryland",6,3,9,3,2,0,5,1948,13,1,"The aircraft crashed during approach, 5.2 miles short of the runway, in poor weather conditions. Failure of the crew to follow prescribed  procedures and maintain a safe altitude during an ILS approach."
1948-1-20,,China National Aviation Corporation,Curtiss C-46,"Near Mukden, China",51,3,54,11,0,0,11,1948,20,1,"The heavily loaded plane rose 50 ft. into the air, nosed down and crashed in a snowstorm"
1948-1-28,10:50:00,Airline Transport Carriers,Douglas DC-3 (C-47B-DK),"Diablo Mts., California",29,3,32,29,3,0,32,1948,28,1,"The crew took the wrong plane which was scheduled for maintenance.  An in-flight fire caused the engine and then wing to separate from the aircraft and crash out of control. Tests showed a fuel pump was broken in the left engine and would spray gasoline out where it could be ignited by the exhaust. The failure of the left wing in flight as a result of damage by fire which had its source in a defective left engine driven fuel pump.The crash became the impetus for the Woody Guthrie song ""Deportee."""
1948-1-30,03:00:00,British South American Airways,Avro 688 Tudor I,"Atlantic Ocean, NE of Bermuda",25,6,31,25,6,0,31,1948,30,1,"The aircraft ran out of fuel and crashed into the Atlantic Ocean, 340 miles from Bermuda, after running into strong headwinds and being blown off course while flying the leg from  the Azores to Bermuda. Official cause unknown. The aircraft was named ""Star Tiger."""
1948-2-07,13:27:00,Eastern Air Lines,Lockheed L-649 Constellation,"Off Jacksonville, Florida",63,6,69,0,1,0,1,1948,07,2,The No. 3 propeller failed and penetrated the fuselage killing a purser.The failure of a propeller blade due to high stresses induced by accumulative engine malfunctioning.
1948-2-10,16:30:00,KLM Royal Dutch Airlines,Douglas DC-3,"Near Padalarang, Indonesia",15,4,19,15,4,0,19,1948,10,2,Crashed and burned on the island of Java. The crew reported they lost an engine. While trying to return the plane crashed and exploded.
1948-2-12,13:25:00,Det Danske Luftfartselskab,Douglas DC-3,"Ubrichstein, Germany",17,4,21,8,4,0,12,1948,12,2,"In marginal weather conditions, the crew informed ground that an engine failed and was forced to make an emergency landing as they were unable to maintain a safe altitude. The aircraft crash landed in a field located in Ulrichstein, about 70 km northeast of Frankfurt Airport."
1948-2-20,13:40:00,Società Aerea Teseo,Douglas C-47-DL,"Collesalvetti,  Italy",7,3,10,4,3,0,7,1948,20,2,"The pilot chose to fly the short distance between Florence and  Rome below the cloud base. The weather suddenly became worse and the plane entered clouds at low level, drifted off course and struck a hill."
1948-2-21,14:00:00,Latecoere Airlines,Latecoere 631 (flying boat),"Off St. Marcouf, France",7,7,14,7,7,0,14,1948,21,2,"The aircraft was seen at Ste. Mere l'Eglise where it passed very low in poor weather and snow showers before crashing into the English Channel, 50 miles west of La Harvre. It had turned back after encountering adverse weather conditions."
1948-2-23,,Commercial Airways,Douglas DC-3,"Davao, Philippines",9,3,12,9,3,0,12,1948,23,2,Crashed  5 minutes after taking off from Mati.
1948-2-25,06:00:00,Bruning Aviation,Douglas C-47A,"Columbus, Ohio",0,2,2,0,2,0,2,1948,25,2,The cargo plane struck trees while attempting to land.The continuation of an instrument approach below an altitude sufficient to clear the terrain en route.
1948-2-27,,Military - Brazilian Air Force,Douglas C-47,"Near Belem, Brazil",20,6,26,17,6,0,23,1948,27,2,"The plane, carrying Brazilian service personnel and their dependents crashed and burned after stalling short of the runway while attempting to land."
1948-3-02,,Société de Transports Aériens,Junkers Ju-52/3m,"Off Perpignan, France",0,4,4,0,4,0,4,1948,02,3,The cargo flight crashed into the Gulf of Lion
1948-3-02,21:14:00,Sabena,Douglas DC-3,"Heathrow Airport, London, England",19,3,22,17,3,0,20,1948,02,3,The plane crashed during a ground control approach in poor weather conditions. Misjudgement by the pilot when attempting to land at night in conditions of low visibility. Last DC-3 built.
1948-3-07,,Loftleidir Icelandic Airlines,Avro Anson,"Near Skalafell, Iceland",2,2,4,2,2,0,4,1948,07,3,Crashed into a slope of Mt Skalafell located near Hellisheioi in poor weather condtions.
1948-3-10,22:58:00,Delta Air Lines,Douglas DC-4,"Chicago, Illinois",9,4,13,8,4,0,12,1948,10,3,"During takeoff, the aircraft went into a near vertical climb to an altitude of 500 - 800 feet, stalled and crashed.  Loss of longitudinal control of the airplane for reasons undetermined."
1948-3-12,21:14:00,Northwest Orient Airlines,Douglas DC-4 (C-54G-1-DO),"Mt. Sanford, Alaska",24,6,30,24,6,0,30,1948,12,3,"On a charter flight from Lunghwa Airport, Shanghai to La Guardia Airport, New York the plane crashed into the western slope of Mt. Sanford at an altitude of 11,000 feet after taking off from Anchorage, Alaska. Pilot's failure to see Mt. Sanford due to obscuring clouds or aurora borealis while flying a course off the airway."
1948-3-13,,Cruzeiro,Douglas DC-3,"Sierra Cristais, Brazil",3,3,6,3,3,0,6,1948,13,3,Struck a mountain peak in the Sierra Cristais.
1948-3-15,,Agencia Interamericana de Aviada,Douglas DC-3 (C47-DL),"Villa Pinzon, Colombia",10,4,14,10,4,0,14,1948,15,3,Crashed into the slope of Alto El Arrastradero mountain located 50 miles from Bogota.
1948-3-27,07:30:00,Indian National Airlines,Vickers 604 Viking 1B,"Monte Cardo, Corsica, France",15,4,19,15,4,0,19,1948,27,3,"Crashed into a 7,800 ft. mountain obscured by clouds while en route."
1948-4-05,14:30:00,British European Airways / Military - Soviet Air Force,Vickers Viking 1B & Soviet YAK-3 fighter,"Near Berlin, Germany",10,4,14,10,4,0,14,1948,05,4,"The aircraft was circling Gatow in preparation for landing when the DC-3 collided head on with the Russian Air Force Yakovlev 3 fighter, which was performing aerobatics. A total of 14 killed on the Vickers Viking and one on the YAK fighter. The collision was caused by the action of the Yak fighter's pilot, which was in disregard of the accepted rules of flying."
1948-4-10,08:33:00,Air France,Douglas DC-4,"Kano, Nigeria",0,6,6,0,1,0,1,1948,10,4,"Following the failure of the starter on engine number one, the crew was unable to restart this engine and received the authorization to perform an empty leg back to Paris for maintenance purposes. During the takeoff roll in Kano Airport, the aircraft went out of control and veered off runway before colliding with a BOAC technical hangar. A crew member was killed while five others were injured. The crew failed to follow the pre-flight checklist and did not realized the nose wheel was not configured for the takeoff procedure."
1948-4-15,02:35:00,Pan American World Airways,Lockheed L-049-46 Constellation,"Shannon, Ireland",21,10,31,20,10,0,30,1948,15,4,"While executing a second instrument approach at Shannon Airport, the aircraft struck the ground 2,380 feet from the approach end of the intended runway, broke apart and burned. Continuation of an instrument approach to an altitude insufficient to clear the terrain. The failure of a fluorescent light may have been a contributing cause. The plane was named ""Clipper Empress of the Skies."""
1948-4-18,09:20:00,New Guinea Air Traders,Lockheed Hudson IIIA,Territory of New Guinea,33,4,37,33,4,0,37,1948,18,4,"The aircraft climbed to 500 ft. when its left engine failed, whereupon the plane plunged nose first into the ground on an island on the Markham River. Poor technique by the pilot during an emergency situation."
1948-4-24,09:30:00,Aeroflot,Lisnov Li-2,Near Irkutsk Russia,25,4,29,24,4,0,28,1948,24,4,"Crashed in an icy river, 20 miles from its destination. The flight crew who had been drinking the previous night, diverted from the correct route and had been flying at an altitude of about 300 ft. when they crashed."
1948-5-13,17:30:00,Skyways of London,de Havilland Dove 1,"Mount Coron, France",2,2,4,2,2,0,4,1948,13,5,"The aircraft crashed in a storm.  Kathleen Kennedy Cavendish, 28, sister of  President John F. Kennedy, killed."
1948-5-13,11:00:00,Sabena,Douglas DC-4-1009,"Near Magazini, Belgian Congo (Zaire)",25,7,32,24,7,0,31,1948,13,5,"While cruising, the aircraft penetrated a very turbulent line of clouds, lost height and crashed into a forest. The aircraft apparently flew into a tornado at low altitude."
1948-5-15,07:20:00,Mercury Aviation,Douglas DC-3-455,"Vrede, South Africa",8,5,13,8,5,0,13,1948,15,5,"Crashed into Spitzkop mountain after drifting off course in poor weather. The aircraft was named ""Miss France."""
1948-5-16,20:42:00,Slick Airways,Curtiss C-46E,"Columbus, Ohio",0,2,2,0,2,0,2,1948,16,5,"Cargo flight. The in-flight failure of the fuselage carry-in structure beneath the fin, due to extreme turbulence."
1948-5-20,23:30:00,Air Transport Charter,Douglas C-47A,"Near Bovingdon, England",0,4,4,0,3,0,3,1948,20,5,"Cargo flight. While maneuvering at night under the base of low cloud prepatory to landing, the aircraft lost height and struck the ground. The cause of the accident was not determined."
1948-5-22,18:40:00,Aeroflot,Douglas C-47,"Khabarovsk, Russia",5,4,9,4,4,0,8,1948,22,5,"The aircraft collided with the western slope of  Marchekanskoy  hill, 70 m from the top. ATC error."
1948-5-25,,Alpha Airways,Handley Page Halifax C-8,"Albacete, Spain",0,4,4,0,4,1,4,1948,25,5,Crashed on takeoff during a training flight after hitting a private aircraft.
1948-6-10,20:00:00,Hargreaves Airways,de Havilland DH-89A Dragon Rapide,Isle of Man,7,1,8,5,1,0,6,1948,10,6,Crashed into a hill near Port Erin while attempting to land. The plane had failed to maintain both the proper course to the homing beacon and suffiecient altitude to clear the terrain.
1948-6-17,12:41:00,United Air Lines,Douglas DC-6,"Mount Carmel, Pennsylvania",39,4,43,39,4,0,43,1948,17,6,"The plane crashed after an in-flight fire in cargo hold. The crew discharged carbon dioxide extinguishers into the cargo hold in response to the fire warning. When the plane's nose was lowered for an emergency descent, the carbon dioxide, being heavier than air, accumulated in the cockpit and asphyxiated the crew.  The aircraft crashed through high voltage lines and exploded on a hillside. After the crashes of 10/24/47 and 11/11/47, were a design flaw allowed vented fuel to enter the intake for the cabin heating system, the CAA also ordered carbon dioxide extinguishers installed. Earl Carroll,  U.S. theatrical impresario killed. Douglas aircraft company knew of the carbon dioxide danger after two of its test pilots were almost overcome during test flights. They suppressed reports to the CAA which resulted in only a warning being added to the flight manual. The aircraft was named Mainliner Utah."
1948-6-17,,Cathy Pacific,PBY Catalina,"Over the Pearl River, China",23,3,26,22,3,0,25,1948,17,6,"A Catalina seaplane was hijacked by a group attempting to rob the passengers; following a struggle in the cockpit, the plane crashed killing all on board except one passenger who was later identified as the lead hijacker. This is the earliest known airliner hijacking."
1948-6-26,,Linea Aeropostal Venezolana,Douglas DC-3,"Maiquetia, Venezuela",14,3,17,0,1,0,1,1948,26,6,Crashed during a landing attempt.
1948-7-01,12:00:00,Avio Linee Italiane,Fiat G.212CP,"Keerbergen, Belgium",7,5,12,4,4,0,8,1948,01,7,Crashed after overrunning the runway in heavy rain.
1948-7-04,16:00:00,Scandinavian Airlines (SAS),Douglas DC-6 / RAF York,"Northolt, Middlesex, England",26,13,39,26,13,0,39,1948,04,7,"A midair collision occurred between a SAS DC-6 and a Royal Air Force Avro York MW248. Twenty-five passengers and 7 crew on the DC-6,  one passenger and six crew on the York. The accident was caused by human fallibility on the part of both ground and flilght personnel."
1948-7-07,09:50:00,Aigle Azur,Douglas DC-3,"Djiring, French Indo-China",13,3,16,13,3,0,16,1948,07,7,Crashed into mountains 50 miles southwest of Da Lat in adverse meteriological conditions and absence of adequate ground facililities.
1948-7-14,,Aerovias Brasil,Douglas C-47A,"Belem, Brazil",2,3,5,2,3,0,5,1948,14,7,The cargo plane lost control and crashed shortly after leaving the runway. The pilot did not apply the procedure recommended by the airline and attempted to make a turn after takeoff below the specified altitude of 100 meters.
1948-7-16,18:00:00,Cathay Pacific Airways,Consolidated OA-10 Catalina,Pacific Ocean between Hong Kong and Macao,23,3,26,22,3,0,25,1948,16,7,"The plane crashed after being hijacked. While trying to take control of the aircraft, one of the passengers tried to stop the hijackers, In response, one of the hijackers shot wildly striking and killing both pilots The plane went out of control and crashed. One of the hijackers survived by jumping out of the rear exit before the plane hit the water.  He was held in Macao prison for three years and released in 1951.First commercial aircraft to be hijacked."
1948-7-24,17:30:00,Rimouski Airlines,Douglas DC-3,"Cap-des-Rosiers, Quebec, Canada",27,2,29,27,2,0,29,1948,24,7,"The aircraft hit a mountain top at Cap-des-Rosiers, 12 miles from its destination in fog and burned."
1948-7-29,09:15:00,ALFA,Short Sandringham 2 (flying boat),"Buenos Aires, Argentina",18,6,24,16,2,0,18,1948,29,7,Crashed and sank near the shore of the River Plate while attempting to land in fog. Pilot error. Attempting to land atop water in conditions of fog and poor visibility which were below the prescribed minima.
1948-7-29,,Civil Air Transport,Curtiss C-46D-20-CU,"Tsingtao, China",16,3,19,16,3,0,19,1948,29,7,Crashed while attempting to take off. Went into a spin after taking off and plunged into the ground from about 300 ft.
1948-8-01,09:40:00,Onzeair,Avro 691 Lancastrian (flying boat),"Karachi, Pakistan",0,4,4,0,4,0,4,1948,01,8,"Cargo flight. An error in judgement on the part of the pilot in allowing the aircraft to stall while coming in to land. The contributory causes were probably overload, badly loaded with CG too far aft, movement of load due to it not being secured."
1948-8-01,23:55:00,Air France,Latecoere 631 (flying boat),"1,200 miles off Dakar, Atlantic Ocean",40,12,52,40,12,0,52,1948,01,8,"Disappeared in the Atlantic on a flight from Fort. de France, Martinique to Port Etienne, Mauritania. The United States Coast Guard cutter Campbell reported finding debris on August 4 with no survivors."
1948-8-09,08:45:00,New Zealand National Airways,Douglas C-47B,"Port Underwood, New Zealand",0,2,2,0,2,0,2,1948,09,8,"The cargo fllight hit the slope of a mountain located in Rununder Point, near Port Underwood, 32 km northeast of Blenheim in poor weather."
1948-8-20,,Avensa,Douglas C-47A,"La Guaira, Venezuela",0,3,3,0,3,0,3,1948,20,8,The cargo plane disappeared en route  over the Caribbean Sea.
1948-8-29,17:05:00,Northwest Orient Airlines,Martin 202,"Near Winona, Minnesota",33,4,37,33,4,0,37,1948,29,8,"Crashed following the separation of the left wing after the aircraft entered a thunderstorm. Loss of the outer panel of the left wing which separated as a result of a fatigue crack which was induced by a faulty design of a wing flange, aggravated by severe turbulence of the thunderstorm."
1948-8-31,,Sabena,Douglas DC-3 (Douglas C-47A-10-DK),"Near Elizabethville, Belgium Congo",10,3,13,10,3,0,13,1948,31,8,Crashed en route. Reasons undetermined.
1948-9-02,20:15:00,Australian National Airways,Douglas DC-3,"Near Quirindi, Australia",10,3,13,10,3,0,13,1948,02,9,"Strayed off course and struck Square Peak Mountain at an altitude of 4,600 feet."
1948-9-30,12:50:00,Aeroflot,Lisunov LI-2,"Balkhash, Kazakhstan",11,4,15,11,4,0,15,1948,30,9,"A few minutes after takeoff, while climbing, the aircraft flew into clouds and control was lost. The aircraft banked right and lost altitude crashing in an isolated area located about 39 km northwest of Balkhash"
1948-10-02,10:30:00,Norwegian Airlines,Short Sandringham 6 (flying boat),"Near Trondheim, Norway",38,7,45,16,3,0,19,1948,02,10,Crashed in Hommelvika Bay  while attempting to land in crosswinds and high seas.
1948-10-12,13:00:00,Aeroflot,Ilyushin Il12,"Near Yevlakh, Azerbaijan, USSR",4,6,10,4,6,0,10,1948,12,10,"Crashed after turning back towards its point of departure afer encounteing low clouds, rain and icing conditions as well as poor navigational difficulties due to poor reception of radio beacons."
1948-10-21,00:35:00,KLM Royal Dutch Airlines,Lockheed 049-46-25 Constellation,"Prestwick Airport, Scotland",30,10,40,30,10,0,40,1948,21,10,"The aircraft was on a flight from Amsterdam to New York with a stopover at Prestwick Scotland. The aircraft attempted to land on Runway 32 but the crew choose to go-around due to strong cross winds and asked to land on Runway 26.  While circling to line up with the runway, the aircraft ran into a heavy fog bank and crashed into high voltage power lines at an elevation of 400 feet and burst into flames. The crashed occurred 5 miles east-northeast of the airport. Improper flight procedures by the crew. Lack of information supplied to the crew by the tower. The aircraft was named ""Nijmegen"" after the old Dutch town close to the West German border."
1948-10-23,14:15:00,New Zealand National Airways,Lockheed 10A Electra,"Mt. Ruapehu, New Zealand",10,3,13,10,3,0,13,1948,23,10,Crashed 700 feet from the summit of a mountain while en route in low visibility. Lack of navigational aids in the area contributed to the accident cause.
1948-10-25,14:00:00,Aerflot,Lisunov Li-2,"Georgian SSR, USSR",14,4,18,14,4,0,18,1948,25,10,Crashed in the Caucasus Mountains in adverse weather while en route. The crew deviated from its prescribed course. Poor flight planning. Crew drank alcohol before the flight.
1948-10-27,16:50:00,Northwest Orient Airlines,Douglas C-54A,"Near Edmonton, Alberta, Canada",0,5,5,0,2,0,2,1948,27,10,Cargo flight. The captain's action in undertaking simulated emergency procedures at a dangerously low altitude.
